test_id,run_folder,duration_sec,final_x,final_y,final_dist_to_target,closest_dist_to_target,closest_target_time,tail_mean_x,tail_mean_y,tail_mean_dist_to_target,tail_std_dist_to_target,final_cost,tail_mean_cost,tail_min_cost,max_abs_vx,max_abs_wz,tail_mean_abs_vx,tail_mean_abs_wz,vx_saturation_percent,wz_saturation_percent,first_time_inside_target_radius_2m,first_time_inside_local_radius_1m,last_time_inside_local_radius_1m,closest_dist_to_local,all_values_finite,notes
Q1,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-05-34,379.636,10.369472,10.490373,0.613983,0.613983,379.636,10.219475,9.737531,0.625957,0.007281,0.012096,0.021214,0.009427,0.241903,0.750000,0.075077,0.122062,37.24,1.89,140.208,,,,True,quadratic bowl start 0 real speed
Q2,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-10-22,277.779,9.918357,10.647839,0.652963,0.652963,277.779,10.361892,9.953696,0.673981,0.013281,0.020010,0.024381,0.011212,0.241903,0.750000,0.081393,0.122519,30.87,1.34,78.233,,,,True,quadratic bowl start 6 real speed
Q3,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-14-46,260.165,9.483077,10.348295,0.623313,0.623313,260.165,10.256095,10.233235,0.637484,0.008708,0.025454,0.021907,0.009859,0.241903,0.750000,0.076766,0.122485,10.37,1.09,22.811,,,,True,quadratic bowl start 8 real speed
R1,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-19-38,516.291,10.001492,10.544848,0.544850,0.544850,516.291,10.007198,10.555878,0.555934,0.006525,0.000010,0.000064,0.000009,0.241903,0.750000,0.000689,0.000156,24.18,8.53,148.887,,,,True,quartic bowl start 0 real speed
R2,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-24-02,463.044,10.539982,9.788752,0.579833,0.579833,463.044,10.550535,9.781826,0.592191,0.007252,0.000016,0.000064,0.000009,0.241903,0.750000,0.000705,0.000187,1.58,0.43,35.392,,,,True,quartic bowl start 6 real speed
R3,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-51-10,212.021,9.671116,9.216083,0.850112,0.850112,212.021,9.651989,9.186612,0.884718,0.020760,0.000405,0.000269,0.000072,0.032562,0.111468,0.002283,0.000462,0.00,0.00,41.987,,,,True,quartic bowl start 8 real speed
W1,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_14-58-42,242.854,2.152978,1.957465,11.236464,10.705427,54.834,1.974988,2.015036,11.321522,0.106070,-0.006960,-0.000398,-0.010009,0.050000,0.250000,0.032915,0.152008,58.06,28.69,,18.964,242.854,0.012176623447761437,True,quartic double well slow speed
W2,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_15-02-14,173.125,2.080105,2.034377,11.232804,10.481445,23.831,1.963342,2.055676,11.300837,0.124593,0.005267,0.001212,-0.010001,0.241903,0.750000,0.041285,0.236665,19.92,14.27,,41.579,173.125,0.0026190326134181395,True,quartic double well real speed
W3,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_15-06-02,151.733,2.174443,2.082139,11.132470,10.909505,82.645,1.926056,2.123098,11.280275,0.135716,-0.002114,0.002373,-0.010008,0.400000,1.250000,0.041574,0.216652,14.35,2.24,,37.935,151.733,0.06119388140657955,True,quartic double well fast simulation only
G1,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-53-49,271.625,2.726514,3.073978,10.043574,9.856815,64.837,2.788475,2.499627,10.406766,0.256074,-2.495788,-2.477023,-2.504625,0.050000,0.250000,0.050000,0.127875,99.09,21.41,,9.349,255.985,0.33844202964264525,True,globalW40 slow speed
G2,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_14-06-23,281.547,9.108541,8.874147,1.436052,1.374041,258.733,10.012529,10.282088,1.403439,0.015403,-7.430486,-7.520792,-7.648592,0.241903,0.750000,0.241903,0.146869,99.29,0.86,58.915,2.6109999999999998,10.261,0.37874122165714347,True,globalW40 real speed
G3,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_14-11-21,153.909,12.155444,10.412976,2.194650,2.191275,153.603,9.669095,9.723604,2.258752,0.035530,-6.949295,-6.820054,-7.025386,0.400000,1.250000,0.400000,0.156159,99.59,0.69,,1.963,6.451,0.4108634970825937,True,globalW40 fast simulation only
H1,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_14-30-07,200.183,1.752608,1.723492,11.684180,10.833107,76.593,1.932641,2.154246,11.254891,0.273653,-1.963337,-1.966116,-1.992777,0.050000,0.250000,0.050000,0.135191,99.99,1.63,,45.075,200.183,0.37009784461583906,True,original hard map slow speed
H2,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_14-32-26,638.410,0.565842,1.979116,12.382969,9.605252,23.656,2.266918,2.199682,11.038047,0.873595,-1.545349,-1.602206,-1.695347,0.241903,0.750000,0.241903,0.151042,99.98,0.30,,,,1.1329568633274554,True,original hard map real speed
H3,/home/mattb/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_14-46-04,313.506,0.426681,3.649593,11.488086,8.897504,18.114,2.402249,1.879118,11.221752,1.658913,-1.182432,-1.083684,-1.210873,0.400000,1.250000,0.400000,0.148534,99.74,0.25,,,,1.5777777849263865,True,original hard map fast simulation only
