test_id,scenario_path,run_folder,target_x,target_y,local_x,local_y,max_vx_limit,max_wz_limit,stop_rule_sec,notes
Q1,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/Q1_quadratic_start0_real.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-05-34,10,10,,,0.2419026343264141,0.75,300,quadratic bowl start 0 real speed
Q2,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/Q2_quadratic_start6_real.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-10-22,10,10,,,0.2419026343264141,0.75,300,quadratic bowl start 6 real speed
Q3,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/Q3_quadratic_start8_real.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-14-46,10,10,,,0.2419026343264141,0.75,300,quadratic bowl start 8 real speed
R1,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/R1_quartic_start0_real.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-19-38,10,10,,,0.2419026343264141,0.75,300,quartic bowl start 0 real speed
R2,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/R2_quartic_start6_real.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-24-02,10,10,,,0.2419026343264141,0.75,300,quartic bowl start 6 real speed
R3,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/R3_quartic_start8_real.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-51-10,10,10,,,0.2419026343264141,0.75,300,quartic bowl start 8 real speed
W1,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/W1_double_well_start1_slow.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_14-58-42,10,10,2,2,0.05,0.25,700,quartic double well slow speed
W2,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/W2_double_well_start1_real.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_15-02-14,10,10,2,2,0.2419026343264141,0.75,700,quartic double well real speed
W3,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/W3_double_well_start1_fast.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_15-06-02,10,10,2,2,0.40,1.25,700,quartic double well fast simulation only
G1,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/G1_globalW40_start1_slow.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_13-53-49,10,10,2,2,0.05,0.25,700,globalW40 slow speed
G2,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/G2_globalW40_start1_real.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_14-06-23,10,10,2,2,0.2419026343264141,0.75,700,globalW40 real speed
G3,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/G3_globalW40_start1_fast.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_14-11-21,10,10,2,2,0.40,1.25,700,globalW40 fast simulation only
H1,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/H1_original_start0_slow.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_14-30-07,10,10,2,2,0.05,0.25,700,original hard map slow speed
H2,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/H2_original_start0_real.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_14-32-26,10,10,2,2,0.2419026343264141,0.75,700,original hard map real speed
H3,~/dsim-lab/writing/heavy_ball_PDE_ESC/archive/scenarios/baseline_tests/H3_original_start0_fast.json,~/Experiments/HBESC-Baseline-Tests/Test_2026-05-13_14-46-04,10,10,2,2,0.40,1.25,700,original hard map fast simulation only
