scenario_config,scenario_id,axis,method,cost_family,speed_label,start_x,start_y,stop_rule_sec,status
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_g1_globalw40_start1_slow.json,P5B-PILOT-01-G1_GLOBALW40_START1_SLOW,pilot_replication,baseline_hbesc,gaussian_two_basin_globalW40,slow,1,1,700,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_g2_globalw40_start1_real.json,P5B-PILOT-02-G2_GLOBALW40_START1_REAL,pilot_replication,baseline_hbesc,gaussian_two_basin_globalW40,real,1,1,700,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_g3_globalw40_start1_fast.json,P5B-PILOT-03-G3_GLOBALW40_START1_FAST,pilot_replication,baseline_hbesc,gaussian_two_basin_globalW40,fast_sim_only,1,1,700,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_h1_original_start0_slow.json,P5B-PILOT-04-H1_ORIGINAL_START0_SLOW,pilot_replication,baseline_hbesc,gaussian_two_basin_original,slow,0,0,700,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_h2_original_start0_real.json,P5B-PILOT-05-H2_ORIGINAL_START0_REAL,pilot_replication,baseline_hbesc,gaussian_two_basin_original,real,0,0,700,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_h3_original_start0_fast.json,P5B-PILOT-06-H3_ORIGINAL_START0_FAST,pilot_replication,baseline_hbesc,gaussian_two_basin_original,fast_sim_only,0,0,700,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_q1_quadratic_start0_real.json,P5B-PILOT-07-Q1_QUADRATIC_START0_REAL,pilot_replication,baseline_hbesc,quadratic_bowl,real,0,0,300,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_q2_quadratic_start6_real.json,P5B-PILOT-08-Q2_QUADRATIC_START6_REAL,pilot_replication,baseline_hbesc,quadratic_bowl,real,6,6,300,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_q3_quadratic_start8_real.json,P5B-PILOT-09-Q3_QUADRATIC_START8_REAL,pilot_replication,baseline_hbesc,quadratic_bowl,real,8,8,300,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_r1_quartic_start0_real.json,P5B-PILOT-10-R1_QUARTIC_START0_REAL,pilot_replication,baseline_hbesc,quartic_bowl,real,0,0,300,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_r2_quartic_start6_real.json,P5B-PILOT-11-R2_QUARTIC_START6_REAL,pilot_replication,baseline_hbesc,quartic_bowl,real,6,6,300,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_r3_quartic_start8_real.json,P5B-PILOT-12-R3_QUARTIC_START8_REAL,pilot_replication,baseline_hbesc,quartic_bowl,real,8,8,300,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_w1_double_well_start1_slow.json,P5B-PILOT-13-W1_DOUBLE_WELL_START1_SLOW,pilot_replication,baseline_hbesc,quartic_double_well,slow,1,1,700,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_w2_double_well_start1_real.json,P5B-PILOT-14-W2_DOUBLE_WELL_START1_REAL,pilot_replication,baseline_hbesc,quartic_double_well,real,1,1,700,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_w3_double_well_start1_fast.json,P5B-PILOT-15-W3_DOUBLE_WELL_START1_FAST,pilot_replication,baseline_hbesc,quartic_double_well,fast_sim_only,1,1,700,planned
experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_gf_q1_quadratic_start0_real.json,P5B-PILOT-GF-Q1_QUADRATIC_START0_REAL,pilot_gaussian_fill_pair,gaussian_fill,quadratic_bowl,conservative,0,0,500,planned
