order,scenario_config,scenario_id,name,phase,stop_rule_sec,method,action
1,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_g1_globalw40_start1_slow.json,P5B-PILOT-01-G1_GLOBALW40_START1_SLOW,phase5b_pilot_g1_globalw40_start1_slow,5,700,baseline_hbesc,run
2,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_g2_globalw40_start1_real.json,P5B-PILOT-02-G2_GLOBALW40_START1_REAL,phase5b_pilot_g2_globalw40_start1_real,5,700,baseline_hbesc,run
3,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_g3_globalw40_start1_fast.json,P5B-PILOT-03-G3_GLOBALW40_START1_FAST,phase5b_pilot_g3_globalw40_start1_fast,5,700,baseline_hbesc,run
4,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_h1_original_start0_slow.json,P5B-PILOT-04-H1_ORIGINAL_START0_SLOW,phase5b_pilot_h1_original_start0_slow,5,700,baseline_hbesc,run
5,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_h2_original_start0_real.json,P5B-PILOT-05-H2_ORIGINAL_START0_REAL,phase5b_pilot_h2_original_start0_real,5,700,baseline_hbesc,run
6,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_h3_original_start0_fast.json,P5B-PILOT-06-H3_ORIGINAL_START0_FAST,phase5b_pilot_h3_original_start0_fast,5,700,baseline_hbesc,run
7,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_q1_quadratic_start0_real.json,P5B-PILOT-07-Q1_QUADRATIC_START0_REAL,phase5b_pilot_q1_quadratic_start0_real,5,300,baseline_hbesc,run
8,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_q2_quadratic_start6_real.json,P5B-PILOT-08-Q2_QUADRATIC_START6_REAL,phase5b_pilot_q2_quadratic_start6_real,5,300,baseline_hbesc,run
9,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_q3_quadratic_start8_real.json,P5B-PILOT-09-Q3_QUADRATIC_START8_REAL,phase5b_pilot_q3_quadratic_start8_real,5,300,baseline_hbesc,run
10,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_r1_quartic_start0_real.json,P5B-PILOT-10-R1_QUARTIC_START0_REAL,phase5b_pilot_r1_quartic_start0_real,5,300,baseline_hbesc,run
11,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_r2_quartic_start6_real.json,P5B-PILOT-11-R2_QUARTIC_START6_REAL,phase5b_pilot_r2_quartic_start6_real,5,300,baseline_hbesc,run
12,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_r3_quartic_start8_real.json,P5B-PILOT-12-R3_QUARTIC_START8_REAL,phase5b_pilot_r3_quartic_start8_real,5,300,baseline_hbesc,run
13,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_w1_double_well_start1_slow.json,P5B-PILOT-13-W1_DOUBLE_WELL_START1_SLOW,phase5b_pilot_w1_double_well_start1_slow,5,700,baseline_hbesc,run
14,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_w2_double_well_start1_real.json,P5B-PILOT-14-W2_DOUBLE_WELL_START1_REAL,phase5b_pilot_w2_double_well_start1_real,5,700,baseline_hbesc,run
15,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_w3_double_well_start1_fast.json,P5B-PILOT-15-W3_DOUBLE_WELL_START1_FAST,phase5b_pilot_w3_double_well_start1_fast,5,700,baseline_hbesc,run
16,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_gf_q1_quadratic_start0_real.json,P5B-PILOT-GF-Q1_QUADRATIC_START0_REAL,phase5b_pilot_gf_q1_quadratic_start0_real,5,500,gaussian_fill,run
17,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_gf_r1_quartic_start0_real.json,P5B-PILOT-GF-R1_QUARTIC_START0_REAL,phase5b_pilot_gf_r1_quartic_start0_real,5,500,gaussian_fill,run
18,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_gf_r2_quartic_start6_real.json,P5B-PILOT-GF-R2_QUARTIC_START6_REAL,phase5b_pilot_gf_r2_quartic_start6_real,5,500,gaussian_fill,run
19,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_gf_w2_double_well_start1_real.json,P5B-PILOT-GF-W2_DOUBLE_WELL_START1_REAL,phase5b_pilot_gf_w2_double_well_start1_real,5,700,gaussian_fill,run
20,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_pilot_gf_g2_globalw40_start1_real.json,P5B-PILOT-GF-G2_GLOBALW40_START1_REAL,phase5b_pilot_gf_g2_globalw40_start1_real,5,700,gaussian_fill,run
21,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_curv_shallow_hb.json,P5B-CURV-SHALLOW-HB,phase5b_curv_shallow_hb,5,500,baseline_hbesc,run
22,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_curv_shallow_gf.json,P5B-CURV-SHALLOW-GF,phase5b_curv_shallow_gf,5,500,gaussian_fill,run
23,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_curv_default_hb.json,P5B-CURV-DEFAULT-HB,phase5b_curv_default_hb,5,500,baseline_hbesc,run
24,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_curv_default_gf.json,P5B-CURV-DEFAULT-GF,phase5b_curv_default_gf,5,500,gaussian_fill,run
25,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_curv_steep_hb.json,P5B-CURV-STEEP-HB,phase5b_curv_steep_hb,5,500,baseline_hbesc,run
26,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_curv_steep_gf.json,P5B-CURV-STEEP-GF,phase5b_curv_steep_gf,5,500,gaussian_fill,run
27,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/configs/scenarios/phase5b_curv_asym_hb.json,P5B-CURV-ASYM-HB,phase5b_curv_asym_hb,5,500,baseline_hbesc,run
