[INFO] [1781049172.674556324] [convergence_detector]: ConvergenceDetector: k=20, th=0.2, b=0.15, N=2000, omega=5.000, dt_node=0.012566, min_trigger_time=50.27s
[INFO] [1781049239.559438519] [convergence_detector]: Convergence event: metric=-0.001997, r=0.057847, decay=0.140156, t=63.900
[INFO] [1781049254.589073199] [convergence_detector]: Convergence event: metric=-0.000887, r=0.092121, decay=0.106992, t=78.800
[INFO] [1781049273.117823040] [convergence_detector]: Convergence event: metric=-0.001142, r=0.135566, decay=0.063292, t=97.200
[INFO] [1781049435.465869697] [convergence_detector]: Convergence event: metric=-0.000153, r=0.199847, decay=0.000000, t=258.400
[INFO] [1781049449.800794602] [convergence_detector]: Convergence event: metric=-0.001122, r=0.080040, decay=0.118837, t=272.600
[INFO] [1781049461.957332991] [convergence_detector]: Convergence event: metric=-0.001111, r=0.036051, decay=0.162838, t=284.700
[INFO] [1781049473.454451049] [convergence_detector]: Convergence event: metric=-0.002340, r=0.016794, decay=0.180866, t=296.100
[INFO] [1781049484.513198839] [convergence_detector]: Convergence event: metric=-0.000008, r=0.007942, decay=0.192050, t=307.100
[INFO] [1781049495.502564789] [convergence_detector]: Convergence event: metric=-0.001283, r=0.003764, decay=0.194952, t=318.000
[INFO] [1781049506.393643057] [convergence_detector]: Convergence event: metric=-0.000308, r=0.001793, decay=0.197899, t=328.800
[INFO] [1781049517.242388608] [convergence_detector]: Convergence event: metric=-0.001250, r=0.000851, decay=0.197899, t=339.600
[INFO] [1781049528.129956797] [convergence_detector]: Convergence event: metric=-0.001687, r=0.000414, decay=0.197899, t=350.400
[INFO] [1781049538.967711255] [convergence_detector]: Convergence event: metric=-0.001896, r=0.000206, decay=0.197899, t=361.200
[INFO] [1781049549.859868601] [convergence_detector]: Convergence event: metric=-0.001993, r=0.000108, decay=0.197899, t=372.000
[INFO] [1781049560.762145990] [convergence_detector]: Convergence event: metric=-0.002040, r=0.000061, decay=0.197899, t=382.800
[INFO] [1781049571.614728515] [convergence_detector]: Convergence event: metric=-0.002063, r=0.000038, decay=0.197899, t=393.600
[INFO] [1781049582.499110629] [convergence_detector]: Convergence event: metric=-0.002072, r=0.000029, decay=0.197899, t=404.400
[INFO] [1781049593.388922881] [convergence_detector]: Convergence event: metric=-0.002077, r=0.000024, decay=0.197899, t=415.200
[INFO] [1781049604.243857088] [convergence_detector]: Convergence event: metric=-0.002080, r=0.000021, decay=0.197899, t=426.000
[INFO] [1781049615.121468436] [convergence_detector]: Convergence event: metric=-0.002080, r=0.000021, decay=0.197899, t=436.800
[INFO] [1781049626.017282419] [convergence_detector]: Convergence event: metric=-0.002079, r=0.000022, decay=0.197899, t=447.600
[INFO] [1781049636.871323156] [convergence_detector]: Convergence event: metric=-0.002079, r=0.000023, decay=0.197899, t=458.400
[INFO] [1781049647.761680986] [convergence_detector]: Convergence event: metric=-0.002078, r=0.000024, decay=0.197899, t=469.200
[INFO] [1781049658.659104791] [convergence_detector]: Convergence event: metric=-0.002077, r=0.000025, decay=0.197899, t=480.000
[INFO] [1781049669.516460190] [convergence_detector]: Convergence event: metric=-0.002074, r=0.000027, decay=0.197899, t=490.800
[INFO] [1781049680.406630667] [convergence_detector]: Convergence event: metric=-0.002073, r=0.000028, decay=0.197899, t=501.600
[INFO] [1781049691.286859146] [convergence_detector]: Convergence event: metric=-0.002070, r=0.000031, decay=0.197899, t=512.400
[INFO] [1781049702.136752020] [convergence_detector]: Convergence event: metric=-0.002067, r=0.000035, decay=0.197899, t=523.200
[INFO] [1781049713.023125032] [convergence_detector]: Convergence event: metric=-0.002064, r=0.000038, decay=0.197899, t=534.000
[INFO] [1781049723.866022733] [convergence_detector]: Convergence event: metric=-0.002059, r=0.000042, decay=0.197899, t=544.800
[INFO] [1781049734.760230019] [convergence_detector]: Convergence event: metric=-0.002055, r=0.000047, decay=0.197899, t=555.600
[INFO] [1781049745.647742954] [convergence_detector]: Convergence event: metric=-0.002049, r=0.000052, decay=0.197899, t=566.400
[INFO] [1781049756.498674612] [convergence_detector]: Convergence event: metric=-0.002041, r=0.000061, decay=0.197899, t=577.200
[INFO] [1781049767.395554708] [convergence_detector]: Convergence event: metric=-0.002031, r=0.000071, decay=0.197899, t=588.000
[INFO] [1781049778.278643777] [convergence_detector]: Convergence event: metric=-0.002017, r=0.000085, decay=0.197899, t=598.800
[INFO] [1781049789.139827131] [convergence_detector]: Convergence event: metric=-0.001998, r=0.000104, decay=0.197899, t=609.600
[INFO] [1781049800.034685258] [convergence_detector]: Convergence event: metric=-0.001971, r=0.000130, decay=0.197899, t=620.400
[INFO] [1781049810.922900785] [convergence_detector]: Convergence event: metric=-0.001926, r=0.000175, decay=0.197899, t=631.200
[INFO] [1781049821.778190507] [convergence_detector]: Convergence event: metric=-0.001853, r=0.000249, decay=0.197899, t=642.000
[INFO] [1781049832.656106119] [convergence_detector]: Convergence event: metric=-0.001725, r=0.000376, decay=0.197899, t=652.800
[INFO] [1781049843.587421374] [convergence_detector]: Convergence event: metric=-0.001490, r=0.000611, decay=0.197899, t=663.600
[INFO] [1781049854.448730950] [convergence_detector]: Convergence event: metric=-0.001064, r=0.001038, decay=0.197899, t=674.400
[INFO] [1781049865.339686817] [convergence_detector]: Convergence event: metric=-0.000299, r=0.001802, decay=0.197899, t=685.200
[INFO] [1781049876.303213668] [convergence_detector]: Convergence event: metric=-0.002051, r=0.002997, decay=0.194952, t=696.100
