run_id,phase,scenario_id,method,status,scenario_config,cost_function_config,controller_config,filter_config,rotate_frame_config,sensor_transform_config,data_dir,sim_duration_sec,started_at,completed_at,final_distance_m,min_distance_m,time_to_success_sec,success_radius_m,tail_mean_distance_m,tail_std_distance_m,path_length_m,max_vx_cmd_mps,max_wz_cmd_radps,max_left_wheel_rpm,max_right_wheel_rpm,vx_saturation_pct,wz_saturation_pct,physical_feasibility_label,gaussian_fill_count,notes
20260609T223241Z_phase2_smoke_quartic_baseline_dry_run,2,SMOKE-QRT-HB,baseline_hbesc,dry_run_passed,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T223241Z_phase2_smoke_quartic_baseline_dry_run/configs/scenario_used.json,~/dsim-lab/ros2_ws/src/ros_esc/paper_recreations/heavy_ball_PDE_ESC/cost_function/polynomial_quartic_bowl_center10.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/controller_node/controller_config_files/turtlebot_vehicle/accelerated_methods/hbesc_baseline_real_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/filter_node/filter_config_files/turtlebot_vehicle/gradient_methods/gesc_filter_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/rotate_frame_node/rotate_frame_config_files/turtlebot_vehicle/full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/sensor_pose_node/transform_config_files/turtlebot_rotating_sensor.json,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T223241Z_phase2_smoke_quartic_baseline_dry_run,60,2026-06-09T22:32:41.666156+00:00,2026-06-09T22:32:41.745961+00:00,,,,,,,,,,,,,,,,Phase 2 smoke dry-run; no Gazebo simulation started
20260609T223303Z_phase2_smoke_quartic_baseline_execute,2,SMOKE-QRT-HB,baseline_hbesc,smoke_monitor_failed,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T223303Z_phase2_smoke_quartic_baseline_execute/configs/scenario_used.json,~/dsim-lab/ros2_ws/src/ros_esc/paper_recreations/heavy_ball_PDE_ESC/cost_function/polynomial_quartic_bowl_center10.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/controller_node/controller_config_files/turtlebot_vehicle/accelerated_methods/hbesc_baseline_real_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/filter_node/filter_config_files/turtlebot_vehicle/gradient_methods/gesc_filter_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/rotate_frame_node/rotate_frame_config_files/turtlebot_vehicle/full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/sensor_pose_node/transform_config_files/turtlebot_rotating_sensor.json,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T223303Z_phase2_smoke_quartic_baseline_execute,60,2026-06-09T22:33:03.533142+00:00,2026-06-09T22:33:10.445902+00:00,,,,,,,,,,,,,,,,sim-time monitor failed; runner process group terminated
20260609T223343Z_phase2_smoke_quartic_baseline_execute,2,SMOKE-QRT-HB,baseline_hbesc,smoke_wall_timeout,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T223343Z_phase2_smoke_quartic_baseline_execute/configs/scenario_used.json,~/dsim-lab/ros2_ws/src/ros_esc/paper_recreations/heavy_ball_PDE_ESC/cost_function/polynomial_quartic_bowl_center10.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/controller_node/controller_config_files/turtlebot_vehicle/accelerated_methods/hbesc_baseline_real_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/filter_node/filter_config_files/turtlebot_vehicle/gradient_methods/gesc_filter_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/rotate_frame_node/rotate_frame_config_files/turtlebot_vehicle/full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/sensor_pose_node/transform_config_files/turtlebot_rotating_sensor.json,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T223343Z_phase2_smoke_quartic_baseline_execute,60,2026-06-09T22:33:43.517720+00:00,2026-06-09T22:35:50.998089+00:00,,,,,,,,,,,,,,,,wall-time timeout before sim-time duration; runner process group terminated
20260609T223633Z_phase2_smoke_quartic_baseline_execute,2,SMOKE-QRT-HB,baseline_hbesc,smoke_wall_timeout,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T223633Z_phase2_smoke_quartic_baseline_execute/configs/scenario_used.json,~/dsim-lab/ros2_ws/src/ros_esc/paper_recreations/heavy_ball_PDE_ESC/cost_function/polynomial_quartic_bowl_center10.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/controller_node/controller_config_files/turtlebot_vehicle/accelerated_methods/hbesc_baseline_real_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/filter_node/filter_config_files/turtlebot_vehicle/gradient_methods/gesc_filter_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/rotate_frame_node/rotate_frame_config_files/turtlebot_vehicle/full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/sensor_pose_node/transform_config_files/turtlebot_rotating_sensor.json,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T223633Z_phase2_smoke_quartic_baseline_execute,60,2026-06-09T22:36:33.588628+00:00,2026-06-09T22:38:40.922167+00:00,,,,,,,,,,,,,,,,wall-time timeout before sim-time duration; runner process group terminated
20260609T224308Z_phase2_smoke_quartic_baseline_dry_run,2,SMOKE-QRT-HB,baseline_hbesc,dry_run_passed,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T224308Z_phase2_smoke_quartic_baseline_dry_run/configs/scenario_used.json,~/dsim-lab/ros2_ws/src/ros_esc/paper_recreations/heavy_ball_PDE_ESC/cost_function/polynomial_quartic_bowl_center10.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/controller_node/controller_config_files/turtlebot_vehicle/accelerated_methods/hbesc_baseline_real_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/filter_node/filter_config_files/turtlebot_vehicle/gradient_methods/gesc_filter_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/rotate_frame_node/rotate_frame_config_files/turtlebot_vehicle/full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/sensor_pose_node/transform_config_files/turtlebot_rotating_sensor.json,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T224308Z_phase2_smoke_quartic_baseline_dry_run,60,2026-06-09T22:43:08.479614+00:00,2026-06-09T22:43:08.559995+00:00,,,,,,,,,,,,,,,,Phase 2 smoke dry-run; no Gazebo simulation started
20260609T223918Z_phase2_smoke_quartic_baseline_execute,2,SMOKE-QRT-HB,baseline_hbesc,smoke_outputs_missing,experiments/hbesc_gaussian_fill_study/results/runs/20260609T223918Z_phase2_smoke_quartic_baseline_execute/configs/scenario_used.json,~/dsim-lab/ros2_ws/src/ros_esc/paper_recreations/heavy_ball_PDE_ESC/cost_function/polynomial_quartic_bowl_center10.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/controller_node/controller_config_files/turtlebot_vehicle/accelerated_methods/hbesc_baseline_real_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/filter_node/filter_config_files/turtlebot_vehicle/gradient_methods/gesc_filter_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/rotate_frame_node/rotate_frame_config_files/turtlebot_vehicle/full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/sensor_pose_node/transform_config_files/turtlebot_rotating_sensor.json,experiments/hbesc_gaussian_fill_study/results/runs/20260609T223918Z_phase2_smoke_quartic_baseline_execute,60,2026-06-09T22:39:18.927507+00:00,2026-06-09T22:40:25.893599+00:00,,,,,,,,,,,,,,,,stale-clock false positive; launch errors and missing data collection files
20260609T224323Z_phase2_smoke_quartic_baseline_execute,2,SMOKE-QRT-HB,baseline_hbesc,smoke_sim_time_reached,experiments/hbesc_gaussian_fill_study/results/runs/20260609T224323Z_phase2_smoke_quartic_baseline_execute/configs/scenario_used.json,~/dsim-lab/ros2_ws/src/ros_esc/paper_recreations/heavy_ball_PDE_ESC/cost_function/polynomial_quartic_bowl_center10.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/controller_node/controller_config_files/turtlebot_vehicle/accelerated_methods/hbesc_baseline_real_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/filter_node/filter_config_files/turtlebot_vehicle/gradient_methods/gesc_filter_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/rotate_frame_node/rotate_frame_config_files/turtlebot_vehicle/full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/sensor_pose_node/transform_config_files/turtlebot_rotating_sensor.json,experiments/hbesc_gaussian_fill_study/results/runs/20260609T224323Z_phase2_smoke_quartic_baseline_execute,60,2026-06-09T22:43:23.739573+00:00,2026-06-09T22:44:33.852057+00:00,6.834592481295975,6.834592481295975,,2.0,7.463398325814453,0.3655397354002909,,0.2419026343264141,0.75,87.14532796035418,87.14532796035418,99.97356245869135,52.63714474553866,exceeds_turtlebot3_burger_reference_limits,,sim-time stop_rule_sec reached; required data collection files present
20260609T230722Z_phase3_qrt_a_hb_dry_run,3,QRT-A-HB,baseline_hbesc,dry_run_passed,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T230722Z_phase3_qrt_a_hb_dry_run/configs/scenario_used.json,~/dsim-lab/ros2_ws/src/ros_esc/paper_recreations/heavy_ball_PDE_ESC/cost_function/polynomial_quartic_bowl_center10.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/controller_node/controller_config_files/turtlebot_vehicle/accelerated_methods/hbesc_baseline_real_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/filter_node/filter_config_files/turtlebot_vehicle/gradient_methods/gesc_filter_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/rotate_frame_node/rotate_frame_config_files/turtlebot_vehicle/full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/sensor_pose_node/transform_config_files/turtlebot_rotating_sensor.json,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T230722Z_phase3_qrt_a_hb_dry_run,500,2026-06-09T23:07:22.894788+00:00,2026-06-09T23:07:22.979684+00:00,,,,,,,,,,,,,,,,Phase 3 dry-run; no Gazebo simulation started
20260609T233153Z_phase3_qrt_a_gf_dry_run,3,QRT-A-GF,gaussian_fill,dry_run_passed,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T233153Z_phase3_qrt_a_gf_dry_run/configs/scenario_used.json,~/dsim-lab/ros2_ws/src/ros_esc/paper_recreations/heavy_ball_PDE_ESC/cost_function/polynomial_quartic_bowl_center10.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/controller_node/controller_config_files/turtlebot_vehicle/accelerated_methods/hbesc_gaussian_conservative_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/filter_node/filter_config_files/turtlebot_vehicle/gradient_methods/gesc_filter_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/rotate_frame_node/rotate_frame_config_files/turtlebot_vehicle/full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/sensor_pose_node/transform_config_files/turtlebot_rotating_sensor.json,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T233153Z_phase3_qrt_a_gf_dry_run,500,2026-06-09T23:31:53.969161+00:00,2026-06-09T23:31:54.084761+00:00,,,,,,,,,,,,,,,,Phase 3 dry-run; no Gazebo simulation started
20260609T233154Z_phase3_qrt_b_hb_dry_run,3,QRT-B-HB,baseline_hbesc,dry_run_passed,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T233154Z_phase3_qrt_b_hb_dry_run/configs/scenario_used.json,~/dsim-lab/ros2_ws/src/ros_esc/paper_recreations/heavy_ball_PDE_ESC/cost_function/polynomial_quartic_double_well_local2_global10.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/controller_node/controller_config_files/turtlebot_vehicle/accelerated_methods/hbesc_baseline_real_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/filter_node/filter_config_files/turtlebot_vehicle/gradient_methods/gesc_filter_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/rotate_frame_node/rotate_frame_config_files/turtlebot_vehicle/full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/sensor_pose_node/transform_config_files/turtlebot_rotating_sensor.json,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T233154Z_phase3_qrt_b_hb_dry_run,700,2026-06-09T23:31:54.246565+00:00,2026-06-09T23:31:54.352238+00:00,,,,,,,,,,,,,,,,Phase 3 dry-run; no Gazebo simulation started
20260609T233154Z_phase3_qrt_b_gf_dry_run,3,QRT-B-GF,gaussian_fill,dry_run_passed,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T233154Z_phase3_qrt_b_gf_dry_run/configs/scenario_used.json,~/dsim-lab/ros2_ws/src/ros_esc/paper_recreations/heavy_ball_PDE_ESC/cost_function/polynomial_quartic_double_well_local2_global10.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/controller_node/controller_config_files/turtlebot_vehicle/accelerated_methods/hbesc_gaussian_conservative_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/filter_node/filter_config_files/turtlebot_vehicle/gradient_methods/gesc_filter_full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/rotate_frame_node/rotate_frame_config_files/turtlebot_vehicle/full_rotation.json,~/dsim-lab/ros2_ws/src/ros_esc/ros_esc/sensor_pose_node/transform_config_files/turtlebot_rotating_sensor.json,/home/mattb/dsim-lab/experiments/hbesc_gaussian_fill_study/results/runs/20260609T233154Z_phase3_qrt_b_gf_dry_run,700,2026-06-09T23:31:54.514526+00:00,2026-06-09T23:31:54.622558+00:00,,,,,,,,,,,,,,,,Phase 3 dry-run; no Gazebo simulation started
