"Distance (m), Beta (deg), Resistance (ohms), Voltage (V)"
0.5,0.0,4000.0,0.3810623556581986
0.5,15.0,4232.0,0.36168347216133273
0.5,30.0,5204.0,0.29815684857246116
0.5,45.0,5921.0,0.26395776675731886
0.5,60.0,7520.0,0.21019108280254775
0.5,75.0,10923.0,0.14662756598240467
0.5,90.0,30360.0,0.053763440860215055
0.5,105.0,55935.0,0.02932551319648094
0.5,120.0,67188.0,0.024437927663734114
0.5,135.0,112200.0,0.01466275659824047
0.5,150.0,168465.0,0.009775171065493646
0.5,165.0,337260.0,0.004887585532746823
1.0,0.0,9600.0,0.1661631419939577
1.0,15.0,10923.0,0.14662756598240467
1.0,30.0,11311.0,0.14174040030925178
1.0,45.0,12173.0,0.13196832760137567
1.0,60.0,17437.0,0.09286880171103733
1.0,75.0,27802.0,0.05865206881842741
1.0,90.0,55935.0,0.02932551319648094
1.0,105.0,168465.0,0.009775171065493646
1.0,120.0,337260.0,0.004887585532746823
2.0,0.0,27802.0,0.05865206881842741
2.0,15.0,30360.0,0.053763440860215055
2.0,30.0,33429.0,0.04887585532746823
2.0,45.0,37180.0,0.0439882697947214
2.0,60.0,55935.0,0.02932551319648094
2.0,75.0,84067.0,0.019550457954666634
2.0,90.0,168465.0,0.009775171065493646
2.0,105.0,337260.0,0.004887585532746823
3.0,0.0,67188.0,0.024437927663734114
3.0,15.0,67188.0,0.024437927663734114
3.0,30.0,84067.0,0.019550457954666634
3.0,45.0,112200.0,0.01466275659824047
3.0,60.0,168465.0,0.009775171065493646
3.0,75.0,168465.0,0.009775171065493646
3.0,90.0,337260.0,0.004887585532746823
4.0,0.0,112200.0,0.01466275659824047
4.0,15.0,112200.0,0.01466275659824047
4.0,30.0,168465.0,0.009775171065493646
4.0,45.0,168465.0,0.009775171065493646
4.0,60.0,337260.0,0.004887585532746823
5.0,0.0,168465.0,0.009775171065493646
5.0,15.0,337260.0,0.004887585532746823
6.0,0.0,337260.0,0.004887585532746823
6.0,15.0,337260.0,0.004887585532746823
